palabra ,Significado
abombar,Aturdir
achacar,Imputar algo en forma equivocada 
achuras,Vísceras
achurar,Sacarle las vísceras a una res. Matar
adobe,"Ladrillo sin cocer, secado al sol "
aflojar manija,Ceder
aflus,Sin Nada 
aguaitar,"Acechar, espiar "
ahijuna,"Interjección. Contracción de "" ¡ Ah hijo de una ! "" "
aleluyas,"Cuentos, mentiras. "
al ñudo,Inútilmente 
alzado,Sublevado. Animal chúcaro 
amolar,"Embromar, fastidiar, incomodar, jorobar "
amujar,Bajar 
angelito,"Niño de corta edad, muerto "
angurria,"Mucho deseo de algo, ansia. "
aparcero,"Compañero, amigo. "
apedarse,"Emborracharse, embriagarse."
apero,Conjunto de elementos que componen la montura del caballo 
aplastado,Caballo cansado. 
aporriar,"Castigar, maltratar. "
apostrarse,"Enceguecerse de rabia, como potro enfurecido. "
arisco,No domado 
arriador,Látigo largo 
arrumbao,Abandonado 
asariarse,"Azorarse, sobresaltarse "
atorado,"Atragantado, ahogado. Quien obra sin meditar. "
ave,"Todo animal de caza (ñandú, peludo, jabalí, etc.) "
aviao,El que posee algo.
bagual,Caballo salvaje 
bandalaje,"Bandidaje, conjunto de bandidos. "
baquiano,Conocedor de una región. 
barajo,Eufemismo para no decir carajo 
barato,Regalo que hace el jugador que gana a alguno de los presentes. 
barullo,Desorden 
barraco,"Verraco, cerdo. "
bastos,"Lomillo, prenda del recado de montar. "
bichoco,"Caduco, viejo, ya inútil, obsoleto. "
bolada,"Ocasión, oportunidad favorable. "
bolas,Boleadoras 
bolazo,Mentira. Golpe 
boliarse,El potro que se hecha para atrás. 
boliche,Pequeño almacén o despacho de bebidas. 
bombero,Espía 
bombiar,Espiar 
bardona,La sexta cuerda de la guitarra. 
bozal,El que habla torpemente el idioma 
bruta,Eufemismo para no decir puta 
buey corneta,Buey que tiene una sola asta
cacique,Jefe indio 
calamaco,Poncho pequeño y ordinario 
camándulas,Artimañas 
campiar,"Campear, salir al campo en búsqueda de animales "
cancha,Terreno emparejado donde se hacían carrera de caballos. 
canejo,Eufemismo para no decir carajo 
cantar para contrapunto,Payar 
cantar para el carnero,Morir 
carguero,Animal de carga 
carne de cogote,La parte mas despreciada del vacuno. 
carne de paloma,"De color morado, y morado es cobarde. "
carniar,Matar una res 
cebar,Preparar mate 
cardiar,Cortar las cerdas del caballo 
cimarron,"Animal salvaje, bagual. Mate amargo "
cimbróm,Sacudón 
cincha,"En el juego de naipes, sacar las cartas juntas. "
cojillo,Manta de lana de la montura 
como barriga de sapo,Fría 
concertador,Cantor que improvisa 
conchabar,"Emplear a salario fijo, generalmente mensual "
contingente,Conjunto d soldados 
cortearse,"Separarse, irse solo. "
corrido,Experimentado 
costearse,Molestarse 
criollo,Nativo hijo de extranjero 
cuartiar,Ayudar con una cuarta 
cucañas,Procedimiento de mala fe. 
curiar,Sacar el cuero a una res 
cuerpiar,"Evitar algo, desentenderse de algo. También esquivar la puñalada o el bolazo "
cuja,Cama con respaldo 
cuna,Casa de expósitos
chafalote,Bárbaro o caballo de gran alzada o cuchillo grande
chaguarazo,Latigazo
chaja,Ave vigilante como el tero
chamuscado,Medio borracho
chancleta,"Cobarde, maula, o mujer ya de cierta edad"
chancho,Cerdo
charango,Guitarra
chapeton,Inexperto
charabon,"Avestruz pequeño, aun sin plumas"
chasque,Correo
chaucha,Moneda de poco valor
chicote,"Rebenque, látigo"
chifle,Asta de buey para llevar líquido
china,India. Cariñosamente el gaucho llamaba así a su mujer
chiripa,Calzón amplio
chucho,Miedo
chumbo,Bala
chuncaco,Sanguijuela
chupar," Beber, emborracharse, embriagarse"
chusma,"Entre los indios, la gente que no peleaba: viejos, mujeres y niños"
daño,"Hechizo, brujería "
dar alce,"Dar respiro, tregua"
dar lazo,Cuando se enlaza a un animal se lo deja correr un rato para desarrollar el lazo. 
dar palo,Alusión o reproche mortificante 
de arriba,Sin pagar impunemente. 
de ley,De buena calidad 
de mala muerte,De mala clase 
desofocar,Estropear las patas del caballo 
despedicion,Deformación de expedición 
despeluzarse,Temblar de miedo 
despilchao,"Sin pilchas, pobremente vestido "
divertido,Algo ebrio
echar panes,Decir bravatas 
el como,"La manera, el modo "
el malo,El diablo 
embretar,"Encerrar, aprisionar "
embuchao,Agravio contenido 
emperrado,"Empecinado, terco, empacado "
enancaos,Dos jinetes en un caballo 
en baca,"De acuerdo, actuando en conjunto "
encocorarse,Enojarse 
encordao,Conjunto de cuerdas de la guitarra 
enganchao,Soldado contratado a sueldo 
enriedar,"Embridar, poner las riendas "
entonao,Seguro de su guapeza 
entreverarse,"Mezclarse, confundirse "
entrevero,"Choque, pelea a cuchillo o lanza, cuerpo a cuerpo "
entripao,Agravio contenido 
envenao,Cuchillo con el cabo forrado en verga 
espichar,Morir 
estanquiar,Castigo que consistía en atar al preso de pies y manos a cuatro estacas 
estricote,Sin miramiento
facón,Cuchillo grande 
cfandango,"Baile. Alboroto, desorden "
fï,Fui 
filiar,"Enderezar, componer "
flete,Caballo de carrera 
flojo,"Cobarde, maula "
fregona,"Burlona, de fregar: molestar, burlar "
frontera,"Límite de las tierras del hombre blanco y el indio, señalada por fortines "
fumar,Engañar
garguero,Garganta 
garifo,"Altanero, apuesto, galano "
fato,Nombre de un baile 
gauchada,"Gauchaje. También favor, ayuda, acción generosa "
gringo,Extranjero 
grullo,Peso moneda nacional 
guacho,Sin padres 
guadal,Terreno movedizo 
gualicho,Brujería 
guapo,"Valiente o fuerte, resistidor "
guasca,Lonja de cuero 
guayaca,Bolsa de cuero en donde se llevaba el tabaco o el dinero 
gueno,Bueno 
guitarrero,Guitarrista. El que toca la guitarra 
gurí,Niño
hacer la tarde,"Dejar pasar la tarde sin trabajar, jugando, bebiendo, conversando, etc. "
hacerle ver la luz,Darle dinero (por las el brillo de las monedas de plata) 
hacer pata ancha,Hacerle frente a cualquier circunstancia o peligro 
hacerse astillas,"Despedazarse, hacerse añicos "
hacerse el chancho rengo,Hacerse el inservible 
hacerse el pollo,Hacerse el inocente 
hacienda,Ganado vacuno 
hembraje,Conjunto de mujeres 
hincarse,Arrodillarse 
huinca,Así llamaban los indios al hombre blanco
infiel,Indio no cristiano 
irse al humo,"Expresión indígena, de irse sobre los fusiles humeantes"
jabón,"Miedo, temor "
jedentina,Mal olor 
jinetear,Cabalgar
ladino,"Listo, habilidoso. También se llamaba así al indio que sabia el idioma del blanco "
lata,Sable 
latón,Despectivamente por el sable 
laya,Clase. Tipo 
lazo,Trenza de cuero con un nudo corredizo mediante una argolla 
lejía,Ceniza de jume (planta de terreno salitroso) que se utilizaba como jabón 
lenguaraz,Interprete que sabe el idioma indígena 
lengueteo,"Confusión de voces, murmullo "
león,"El gaucho llamaba así al puma, en la pampa no hay leones "
limeta,Frasco de bebida 
lobo,"Perro salvaje, en la pampa no hay lobos "
lonja,Tira de cuero 
lonjear,Cortar correas de cuero 
luz mala,Fuego fatuo
llevar por delante,Atropellar 
lloronas,Espuelas de rodajas grandes.
malevo,"Delincuente, peleador, bandido "
maliciar,Sospechar 
malón,Ataque indio que termina en robo e incendio 
mamao,Borracho 
mamúa,Borrachera 
mancarron,Caballo viejo 
manea,Traba de cuero para atar las pata delanteras del caballo 
manganeta,"Engaño, ardid "
manotiar,Robar 
marica,Hombre afeminado 
mascada,Producto de un robo. También a la porción de tabaco que se masca 
mataco,"Armadillo, también ""peludo"", ""mulita"", ""pilche"" o ""quirquincho"" "
matrero,El que vive huyendo perseguido por la justicia. 
matungo,"Caballo viejo, también MATUCHO "
mena,Clase o casta 
mercheria,Mercancía 
milico,Soldado 
milonga,Baile 
mosquete,Golpe 
morao,Cobarde 
moro,"Color de pelo de un caballo, mezcla de negro y blanco, mas oscuro que el tordillo "
mostrar la hilancha,Mostrar lo que en realidad es y se tenía oculto
nación,"Extranjero, ""Gringo"" "
noque,Bolsa de cuero 
no ser manco ,"Ser hábil, diestro"
obraje,lugar donde se talan árboles o se fabrican ladrillos
ojota,"calzado a manera de sandalia, hecho de
cuero sin curtir o filamento vegetal, usados por los indios del noroeste argentino."
ombú,"hierba gigantesca que crece en las provincias de Misiones, Corrientes, entre Ríos, Buenos Aires, Formosa, Chaco, Santa Fe y Tucumán. Es originaria de Corrientes, de las proximidades de la laguna Iberá."
opa,"en lenguaje vulgar, dícese de la persona de pocas luces. En el noroeste se usa igual y se aplica a quienes son débiles mentales."
orejano,dícese del animal que carece de marca o señal …  animal arisco o persona huraña.
overo,"pelaje de yeguarizo o vacuno, caracterizado por ser blanco con manchas negras o castañas, aunque también pueden ser de otro color. Casi siempre los overos reciben el nombre de manchados. También se llama overo a cualquier cosa de dos o más colores."
overo rosado,pelaje de manchas rosadas y blancas: las manchas rosadas tiñen el pelo. Se le llamatobiano colorado al overo colorado cuyas manchas grandes y poco numerosas son donosas y llamativas.
paco ,Hombre falso 
pago,Lugar donde se ha nacido 
paisano,"Camarada, aparcero "
pampa,Indio Araucano 
pampero,Viento del oeste y del sudoeste 
pan bendito,Pan en pequeña cantidad 
pango,"Enredo, confusión, barullo "
pardo,Mulato 
parejero,Caballo corredor 
parlamento,Entre los indios reunión de caciques 
payar,Cantar improvisando 
pelar,Sacarle el dinero mediante argucias a los jugadores novatos 
pelar la breva,"Ganarle lo que uno tiene , también arrebatárselo "
pelar la chaucha,Dejarlo desnudo 
peludo,Borrachera o asunto costoso 
perdulario,Vicioso 
pericón,Baile gauchesco 
pértigo,El palo largo de las carretas donde se atan los bueyes 
pial,Tiro del lazo a las patas delanteras del animal 
pichicos,Huesos de las patas del vacuno con que se hacen juguetes para los niños 
pifiar,Burlar 
pijotear,Mezquinar 
pitar,Fumar 
playa,Terreno limpio de matorrales 
poncho,"Prenda de vestir del gaucho, manta rectangular con una abertura en el medio "
por carambola,De casualidad 
porrón,Frasco de ginebra 
porrudo,De pelo abundante 
prenda,Mujer amada 
pucha,Eufemismo para evitar decir puta 
pucho,Colilla de cigarrillo 
pulpería,"Tienda de ramos generales, donde se despachan bebidas "
punta,Eufemismo para evitar decir puta 
puyón,Espolón de acero para los gallos de riña
querencia,Lugar donde se habita 
quincho,Tejido de juncos para techos
ramada,"Enramada, cobertizo. "
rancho,Vivienda con paredes de barro y techo de paja 
rastrillada,Camino abierto por el paso de los animales 
recadito cantor,Recado chico y pobre 
recado,Conjunto de piezas para ensillar el caballo 
redomón,Potro a medio amansar 
refocilo,Relámpago 
renegarse,Enojarse 
repuntar,Juntar animales dispersos 
retobao,"Malhumorado, resentido "
revolutis,Pelea entre varios 
reyuno,Caballo propiedad del Estado 
robada,Con facilidad 
rodeo,Lugar abierto para el ganado
saberse sacudir el polvo,Saber desempeñarse 
socorro,Adelanto de sueldo 
sofrenar,Detener bruscamente el caballo con un tirón de riendas 
suerte reculativa ,Mala suerte
taco,Trago 
tamango,Calzado rústico 
tape,"Indio, también se llama así al hombre bajo de espaldas anchas "
tapera,Rancho en ruinas 
temeridad,Abundancia 
tendal,"Conjunto de cosas desparramadas, tendidas "
terne,"Matón, valentón, ""guapo"" "
tener guen cuero,Ser fuerte y bravo 
tenerse por bueno,Tener confianza en la capacidad y valor propio. 
tiento,Trozo de cuero crudo 
tirador,Cinturón de cuero 
toldería,Conjunto de toldos (viviendas) de los indios 
topada,Encuentro en pelea o payando 
toruno,Buey mal castrado 
tranca,Borrachera 
tropilla,Conjunto de animales yeguarizos
yapa,en una venta lo que se da de mas sin cobrarlo
yerra,Acción de herrar o marcar el ganado
yuyo,Maleza
zafarrancho,Desorden
